asset,time,CapMVRVCur
btc,2024-02-14T00:00:00.000000000Z,2.227481564237
btc,2024-02-15T00:00:00.000000000Z,2.227672856945
btc,2024-02-16T00:00:00.000000000Z,2.233361065632
btc,2024-02-17T00:00:00.000000000Z,2.211108586549
btc,2024-02-18T00:00:00.000000000Z,2.229209056718
btc,2024-02-19T00:00:00.000000000Z,2.207720044105
btc,2024-02-20T00:00:00.000000000Z,2.226411177484
btc,2024-02-21T00:00:00.000000000Z,2.199223255693
btc,2024-02-22T00:00:00.000000000Z,2.176256754311
btc,2024-02-23T00:00:00.000000000Z,2.151044247173
btc,2024-02-24T00:00:00.000000000Z,2.182874558495
btc,2024-02-25T00:00:00.000000000Z,2.188723304731
btc,2024-02-26T00:00:00.000000000Z,2.30035580813
btc,2024-02-27T00:00:00.000000000Z,2.39296751458
btc,2024-02-28T00:00:00.000000000Z,2.578804516452
btc,2024-02-29T00:00:00.000000000Z,2.523625575021
btc,2024-03-01T00:00:00.000000000Z,2.552193764104
btc,2024-03-02T00:00:00.000000000Z,2.530515094253
btc,2024-03-03T00:00:00.000000000Z,2.564912446775
btc,2024-03-04T00:00:00.000000000Z,2.751198902437
btc,2024-03-05T00:00:00.000000000Z,2.565781926711
btc,2024-03-06T00:00:00.000000000Z,2.612226371577
btc,2024-03-07T00:00:00.000000000Z,2.630694305772
btc,2024-03-08T00:00:00.000000000Z,2.663773784415
btc,2024-03-09T00:00:00.000000000Z,2.664446669894
btc,2024-03-10T00:00:00.000000000Z,2.673324643842
btc,2024-03-11T00:00:00.000000000Z,2.776042557045
btc,2024-03-12T00:00:00.000000000Z,2.732831670246
btc,2024-03-13T00:00:00.000000000Z,2.746836537171
btc,2024-03-14T00:00:00.000000000Z,2.676637138189
btc,2024-03-15T00:00:00.000000000Z,2.593181988006
btc,2024-03-16T00:00:00.000000000Z,2.443363523614
btc,2024-03-17T00:00:00.000000000Z,2.541969044316
btc,2024-03-18T00:00:00.000000000Z,2.51875351754
btc,2024-03-19T00:00:00.000000000Z,2.30649799611
btc,2024-03-20T00:00:00.000000000Z,2.517432122856
btc,2024-03-21T00:00:00.000000000Z,2.425056482588
btc,2024-03-22T00:00:00.000000000Z,2.347242779085
btc,2024-03-23T00:00:00.000000000Z,2.355130916016
btc,2024-03-24T00:00:00.000000000Z,2.459089042138
btc,2024-03-25T00:00:00.000000000Z,2.531973278125
btc,2024-03-26T00:00:00.000000000Z,2.529858023857
btc,2024-03-27T00:00:00.000000000Z,2.497305617703
btc,2024-03-28T00:00:00.000000000Z,2.542320039061
btc,2024-03-29T00:00:00.000000000Z,2.50681430136
btc,2024-03-30T00:00:00.000000000Z,2.495980095994
btc,2024-03-31T00:00:00.000000000Z,2.54947270434
btc,2024-04-01T00:00:00.000000000Z,2.483865174687
btc,2024-04-02T00:00:00.000000000Z,2.325824861038
btc,2024-04-03T00:00:00.000000000Z,2.343574739079
btc,2024-04-04T00:00:00.000000000Z,2.422340254314
btc,2024-04-05T00:00:00.000000000Z,2.401839662162
btc,2024-04-06T00:00:00.000000000Z,2.442327543695
btc,2024-04-07T00:00:00.000000000Z,2.449775072637
btc,2024-04-08T00:00:00.000000000Z,2.52594267686
btc,2024-04-09T00:00:00.000000000Z,2.431151797828
btc,2024-04-10T00:00:00.000000000Z,2.480887886464
btc,2024-04-11T00:00:00.000000000Z,2.459930871341
btc,2024-04-12T00:00:00.000000000Z,2.355699837214
btc,2024-04-13T00:00:00.000000000Z,2.266724603585
btc,2024-04-14T00:00:00.000000000Z,2.303797513539
btc,2024-04-15T00:00:00.000000000Z,2.224653591762
btc,2024-04-16T00:00:00.000000000Z,2.235583060627
btc,2024-04-17T00:00:00.000000000Z,2.150115532828
btc,2024-04-18T00:00:00.000000000Z,2.223657090198
btc,2024-04-19T00:00:00.000000000Z,2.229521797353
btc,2024-04-20T00:00:00.000000000Z,2.268874228093
btc,2024-04-21T00:00:00.000000000Z,2.270178573833
btc,2024-04-22T00:00:00.000000000Z,2.336371416788
btc,2024-04-23T00:00:00.000000000Z,2.315430605828
btc,2024-04-24T00:00:00.000000000Z,2.229186378145
btc,2024-04-25T00:00:00.000000000Z,2.239412644798
btc,2024-04-26T00:00:00.000000000Z,2.213395882136
btc,2024-04-27T00:00:00.000000000Z,2.200293292653
btc,2024-04-28T00:00:00.000000000Z,2.182739504636
btc,2024-04-29T00:00:00.000000000Z,2.213049963714
btc,2024-04-30T00:00:00.000000000Z,2.099491659604
btc,2024-05-01T00:00:00.000000000Z,2.01516295818
btc,2024-05-02T00:00:00.000000000Z,2.050901531028
btc,2024-05-03T00:00:00.000000000Z,2.180678249434
btc,2024-05-04T00:00:00.000000000Z,2.210725676775
btc,2024-05-05T00:00:00.000000000Z,2.216655067084
btc,2024-05-06T00:00:00.000000000Z,2.186202853853
btc,2024-05-07T00:00:00.000000000Z,2.157205469069
btc,2024-05-08T00:00:00.000000000Z,2.110540935051
btc,2024-05-09T00:00:00.000000000Z,2.175223560734
btc,2024-05-10T00:00:00.000000000Z,2.102988744981
btc,2024-05-11T00:00:00.000000000Z,2.100448702876
btc,2024-05-12T00:00:00.000000000Z,2.119745795365
btc,2024-05-13T00:00:00.000000000Z,2.168233271084
btc,2024-05-14T00:00:00.000000000Z,2.121406641577
btc,2024-05-15T00:00:00.000000000Z,2.275705533512
btc,2024-05-16T00:00:00.000000000Z,2.238813737175
btc,2024-05-17T00:00:00.000000000Z,2.293532882786
btc,2024-05-18T00:00:00.000000000Z,2.293351817746
btc,2024-05-19T00:00:00.000000000Z,2.267741433359
btc,2024-05-20T00:00:00.000000000Z,2.430732575262
btc,2024-05-21T00:00:00.000000000Z,2.392177115696
btc,2024-05-22T00:00:00.000000000Z,2.350508549105
btc,2024-05-23T00:00:00.000000000Z,2.30342600975
btc,2024-05-24T00:00:00.000000000Z,2.329942400919
btc,2024-05-25T00:00:00.000000000Z,2.351755247843
btc,2024-05-26T00:00:00.000000000Z,2.321857258415
btc,2024-05-27T00:00:00.000000000Z,2.349289009693
btc,2024-05-28T00:00:00.000000000Z,2.276025405912
btc,2024-05-29T00:00:00.000000000Z,2.249666771523
btc,2024-05-30T00:00:00.000000000Z,2.274593932765
btc,2024-05-31T00:00:00.000000000Z,2.240434640049
btc,2024-06-01T00:00:00.000000000Z,2.250811711614
btc,2024-06-02T00:00:00.000000000Z,2.252890611825
btc,2024-06-03T00:00:00.000000000Z,2.282844084426
btc,2024-06-04T00:00:00.000000000Z,2.336035028633
btc,2024-06-05T00:00:00.000000000Z,2.350051564625
btc,2024-06-06T00:00:00.000000000Z,2.333807126267
btc,2024-06-07T00:00:00.000000000Z,2.283767499815
btc,2024-06-08T00:00:00.000000000Z,2.281753656488
btc,2024-06-09T00:00:00.000000000Z,2.291783692164
btc,2024-06-10T00:00:00.000000000Z,2.284430208974
btc,2024-06-11T00:00:00.000000000Z,2.210797104332
btc,2024-06-12T00:00:00.000000000Z,2.236528862009
btc,2024-06-13T00:00:00.000000000Z,2.189193919128
btc,2024-06-14T00:00:00.000000000Z,2.162288948988
btc,2024-06-15T00:00:00.000000000Z,2.168574282271
